linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
SAN BERNARDINO - PAEZ 1 230 kV,230 kV,PAEZ,PPYN,230, ,868,ISA,116 Km, ,CAUCA,19,156
TERMOCANDELARIA - CARTAGENA 1 220 kV,220 kV,CANDELARIA,CART,220,AAAC 927.2,630,TRANSELCA,3.216 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.      0.328 km son propie,BOLIVAR,13,157
TERMOCANDELARIA - CARTAGENA 2 220 kV,220 kV,CANDELARIA,CART,220,AAAC 927.2,630,TRANSELCA,3.216 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.      0.328 km son propie,BOLIVAR,13,158
COMUNEROS - MERILECTRICA 1,220 kV,BARI,MERI,220, ,896, , , ,SANTANDER,68,159
CARTAGO - SAN MARCOS 1,230 kV,CGVC,SMRC,230,ACSR,900,ISA,146.2 Km, ,VALLE DEL CAUCA,76,160
JAMONDINO - POMASQUI 1,220 kV,PAST,POMA,220, ,810, , , ,NARI¥O,52,161
LA GUACA - PARAISO 2 230 kV,230 kV,GUAC,PARA,230,AAAC 1600,960,EEB,7.5 Km, ,CUNDINAMARCA,25,162
BELEN (CUCUTA) - TASAJERO 1 230 kV,230 kV,BELE,TJRO,230, ,868,ISA,11.58 Km, ,NORTE DE SANTANDER,54,163
GUATAIGUARA - TASAJERO 1,220 kV,NBUC,TJRO,220, ,810, , , ,NORTE DE SANTANDER,54,164
GUADALUPE IV - OCCIDENTE 1,220 kV,OCCI,GUAD,220, ,777,EEPPM,81.3 Km, ,ANTIOQUIA,5,165
COPEY-BOLIVAR,500 kV,COPE,BOLI,500, ,810, , , ,ATLANTICO,8,166
COPEY-VALLEDUPAR,230 kV,COPE,VDUP,230, ,810, , , ,CESAR,20,167
PRIMAVERA-BACATA,500 kV,PVRA,BACA,500, ,810,ISA, , ,BOYACA,15,168
NOROESTE - BACATA,230 kV,NOR,BACA,230, ,810, , , ,CUNDINAMARCA,11,169
